,Neighborhood,address,bath,bed,description,latitude,logitude,page_url,price,rent,sale,size,year built,zipcode
14,Lower East Side,"31 E 12th St # 5/6D, New York, NY 10003",3,3,"For sale: $2,995,000. This well drawn 3 bedroom 3 bath Greenwich Village duplex dream home is marked by gracious room proportions and 14 south facing windows over quaint 12th Street granting both incredible light and magical tree canopy views.

You are welcomed in by an expansive Entry Foyer which opens into the Great Room centered by a warm wood burning fireplace flanked by built-in book shelves. This oversized room offers incredible space for both entertaining and dining. A well placed and appointed large stainless steel sleek windowed Chefs Kitchen opens directly to the dining area. On the opposite side of the Entry Foyer is a well sized swing-room that could be used as a separate Family Room, Den, or Guest Bedroom with an adjacent Full Bath. Four large closets offer spectacular storage throughout this level.

As you arrive on the sleeping level at the top of the steps, a large open airy Landing or Study, offers great privacy dividing the Master Suite and 3rd Bedroom Suite. French doors open into the Master Suite, where a second wood burning romantic fireplace frames the long and deep room. With its depth and width the room can be set for both a king size bed and separate private en suite living room. A well sized windowed Master Bath and two massive walk-in closets round out the Master Suite. Off the opposite side of landing, a private hallway reveals a 2nd Bedroom Suite with en suite windowed Bath and 3 large closets.

Through-the-wall air conditioning is concealed by custom built-ins throughout the home. And this handsome pre-war full service building features a 24 hour doorman, full-time porter, live-in super, large laundry room and additional storage can be offered. The building is also pet friendly and allows pied-a-terres.

Note: Photos are virtually staged.",40.734001,-73.992401,https://www.zillow.com:443/homedetails/31-E-12th-St-5-6D-New-York-NY-10003/2087806855_zpid/,2995000.00,0,1,1772,1929,10003
15,Lower East Side,"55 E 9th St APT 9B, New York, NY 10003",1,0,"For sale: $585,000. Spacious Greenwich Village Alcove Studio
This tranquil and spacious queen-sized alcove studio features a wall of windows with bright northern exposure, beautiful hardwood floors, and three large closets.

The Jefferson is an elegant full-service coop with 24-hour doorman, live-in superintendent, storage, bike room, and laundry facility. On one of Greenwich Village's most desirable blocks, with Washington Square Park, Union Square Park, Whole Foods, Trader Joe's and the Union Square Farmer's Market all nearby, its prime location offers convenient access to transportation and some of the best dining and shopping options the city has. Subletting is permitted after one year of residency. Pieds-a-terre, guarantors, co-purchasing, parents buying for children, and pets are allowed on a case-by-case basis with board approval.",40.7318,-73.992797,https://www.zillow.com:443/homedetails/55-E-9th-St-APT-9B-New-York-NY-10003/2129221076_zpid/,585000.00,0,1,500,1964,10003
16,Lower East Side,"333 E 14th St APT 5D, New York, NY 10003",1,1,"For sale: $825,000. Great value for this spacious one bedroom/one bathroom home. The apartment features a wall of windows facing south and north filling this home with wonderful sunlight all day long and spectacular city views both in the AM and PM. One World Trade Center shines in the sky and can be appreciated the entire day. The D-line is one of the most desirable floor plans in the building, with the bedroom on one end of the apartment and the living room for entertaining on the other end. Highlights of this home include a closeted entryway, a long, open floor plan, wood floors throughout and an abundance of closets. The recently renovated kitchen has granite counter space, full-sized/stainless steel appliances and ample custom cabinets. The building is well-run, financially stable with excellent reserves. Stuyvesant Owners Inc. is a 17 story co-op building that features a part time doorman, bike room, newly renovated laundry room, live ?in super and building link system. It is located in Gramercy Park/East Village neighborhood, convenient to Union Square, subways & buses, fine restaurants and night life.",40.73192,-73.983184,https://www.zillow.com:443/homedetails/333-E-14th-St-APT-5D-New-York-NY-10003/72518783_zpid/,825000.00,0,1,900,1965,10003
17,Lower East Side,"56 Cooper Sq APT 4, New York, NY 10003",4,4,"For sale: $13,250,000. As soon as you enter this glamorous four bedroom and three-and-a-half bathroom penthouse spread over two floors, the scale and elegance will take your breath away.  Spanning 4,500+ square feet and accessed by private keyed elevator, this loft-like residence is spectacular on every level, from its luxurious finishes, to the vast 1,452 square foot terrace, and space of incredible volume and proportion. 



  

Crafted by Piero Lissoni, this perfectly scaled penthouse reflects a contemporary aesthetic with striking finishes including Italian white limestone floors throughout and kitchen and bath systems by Boffi.  On the main level, the living and dining areas showcase the open layout with lofty ceiling heights of 10'9"" and three entertaining spaces.  Anchored by a woodburning fireplace,  the expansive living and dining area measuring 49' x 31'7"" features six oversized windows framing East city views, and a second gracious living area is positioned to the West.  Joining these three entertaining spaces is the open, eat-in kitchen exquisitely finished with Boffi cabinetry, white Corian counters, and premium appliances, including a Miele six-burner vented cooktop, two Miele ovens, Miele drawer warmer, Miele dishwasher and separate Gaggenau refrigerator and freezer.  The powder bath with stunning glass vanity is adjacent to the laundry room, equipped with full-size washer and dryer.  Completing the main level are two bedrooms with built-ins and an ensuite bath.  The main level layout and its generous proportions affords the flexible use of space. 





A stunning glass and limestone staircase leads to one of Downtown's most impressive private terraces and two bedrooms with ensuite baths, including an incredible master suite.  Multiple seating and dining areas, a television, grill, fresh water hot tub, landscape planters, irrigation, sound system, and light create ambience during the day and night.  The outdoor and indoor living spaces are transversed by a wall of twelve windows to the East and elevated by 9'10"" ceiling heights.  The master suite features an en suite bath with dual vanity, separate shower with rain showerhead, large Corian soaking tub, and a water closet with glass door. Other fine features of this home include abundant storage, custom built-ins and millwork, radiant heated floors, custom lighting, central heating and air conditioning, and a  Crestron system with two iPads that controls all lighting, media/sound, and window shades. 





The Carl Fisher Building, built in 1926 and converted to 26 residential condominiums in 2001, is located in the heart of Noho where you're moments away from SoHo, Union Square, Greenwich Village, and East Village and the 6, N and R trains. Amenities and services include 24-hour doorman/concierge, on-site super, common roof deck, and access to the New York Health and Racket Club.  Storage unit transfers with this property.",40.729,-73.991302,https://www.zillow.com:443/homedetails/56-Cooper-Sq-APT-4-New-York-NY-10003/2102938101_zpid/,13250000.00,0,1,4506,No Data,10003
18,Lower East Side,"30 E 10th St, New York, NY 10003",2,3,"For sale: $7,750,000. The Penthouse at 30 East 10th Street is a unique offering for those seeking an authentic, full-floor loft with unobstructed panoramic views. Boasting approximately 3,700 square feet of interior space, one is immediately captured by the 11-foot ceilings, 19 oversized windows, and 2 generous skylights which provide an abundance of natural light.

A private keyed elevator opens directly into this remarkably refurbished loft. Currently configured as a two-bedroom, two-bathroom home, this loft has ample space for a third or fourth bedroom, media room or separate study.

Much of the iconic architectural history has been carefully restored during the renovation of this magnificent space. The open, modern kitchen is accompanied by an expansive marble island imported from Italy and top tier stainless steel appliances; a Sub-zero refrigerator, wine refrigerator, Smeg gas stovetop with vented hood and Miele dishwasher.

The sun-soaked master bedroom encompasses four oversized windows with south and east exposures and sweeping views of downtown. The ensuite windowed master bathroom is outfitted with imported Travertine marble and includes two separate sinks with a massive walk-in shower. Anchoring the master bathroom is a spacious dressing room. 

Additional features are motorized blackout and solar shades, central AC, and a refined surround sound system. Building amenities include a rooftop deck, just one flight up from the Penthouse, complimentary storage space and a bike room.

30 East 10th Street is a boutique cooperative building situated on one of the most desirable blocks in Greenwich Village, moments away from Washington Square Park, Union Square Park, and multiple subway lines.",40.732276,-73.993294,https://www.zillow.com:443/homedetails/30-E-10th-St-New-York-NY-10003/31498450_zpid/,7750000.00,0,1,3700,1909,10003
19,Lower East Side,NaN,NaN,NaN,NaN,40.73043,-73.989811,https://www.zillow.com:443/homedetails/115-E-9th-St-APT-9F-New-York-NY-10003/244724038_zpid/,NaN,NaN,NaN,1200,1965,NaN
20,Lower East Side,"337 E 18th St, New York, NY 10003",0,8,"For sale: $5,200,000. 337 East 18th Street is a 4-story, 20-foot wide townhouse built in approximately 1910 located in  Gramercy on a  lovely tree lined  block alongside of  numerous other townhouses. This property is not land marked and is located outside of Stuyvesant Square and Gramercy Park historic districts and therefore offers an opportunity for unrestricted renovations and architectural design. 

Presently, the building consists of first and second floor owner-occupied apartment, 3-bedroom 3-bath duplex with a serene yard, and four 1-bedroom free market rental units on third and fourth floors. 

The owner's duplex consists of kitchen/dining room, bedroom and two full bathrooms on a first floor and two bright bedrooms, one bathroom, and a spacious bright living room on a second floor. There are 14 foot ceilings, decorative fireplace and a view of  beautiful planted gardens. The rental units are bright, have hardwood floors, brick walls, high ceilings and decorative fireplaces. 

Under the current configuration the building  can serve as a free market investment vehicle while it is also well suited as a live-with-income opportunity.  It  is equally well positioned for a conversion to a magnificent single family home, perfect for someone who wants to manifest his unique creative vision where the old world architectural charm can be beautifully blended with contemporary design and modern day comforts.

337 East 18th  Street  is well situated in a quieter part of  Gramercy,  yet it is within a quick walking distance to all the tremendously diverse and fascinating downtown neighborhoods which command uncomparably higher price tags. The nearby Union Square offers one of the city's main hubs of  transportation, Whole foods, Trader Joes, Barnes and Nobles, city's largest beloved Farmers and Artists Market, designer shopping and finest restaurants.",40.734401,-73.981498,https://www.zillow.com:443/homedetails/337-E-18th-St-New-York-NY-10003/2107086263_zpid/,5200000.00,0,1,--,1910,10003
21,Lower East Side,"61 Irving Pl APT 1A, New York, NY 10003",2,2,"For sale: $1,500,000. Entering Apartment 1A, one is immediately struck by the spaciousness of the 14' high sunken living-room, the exposed brick walls, the wooden staircase to the balcony that serves as an office or third bedroom and the north facing 10' tall over-sized windows that lets in the diffuse non-glaring light so prized by artists and photographers. Look in one direction, and the feeling is that one is standing in a formal parlor; look the other way and you are standing in a loft. Both are true of this pre-war two bedroom, two- bath apartment with its en-suite master bedroom, second bedroom that will hold a king-size bed and fully-featured kitchen that opens into the living room. In addition, both bathrooms are granite tiled, there are hardwood floors throughout, plenty of closet space including a storage area over the master bedroom closet and central air conditioning. There is a current monthly assessment of $237.38 that ends in 2020.

61 Irving Place, is a classically designed pre-war building that has recently undergone a total renovation of all the common elements. This includes a new awning, entry lobby, laundry room with new appliances, redone hallways and a power washing of the entire building facade which makes it look brand new. There is a doorman from 9am to 6pm, Monday to Friday. Additionally, the building receives income from four commercial spaces located in the basement which are rented out to professionals, keeping the maintenance low. Storage is available in the building on a first come first served basis. 

Irving Place, the six block long, tree-lined extension of Lexington Avenue south of Gramercy Park that pays homage to one of early America's most beloved authors is one of Manhattan's rare human scaled avenues and combines a rich historic background with the convenience of being just around the corner from Union Square, one of New York's great hubs. This intimate neighborhood is filled with land marked houses, cafes, and excellent restaurants. Most notable are the 150 year old Pete's Tavern, which makes the claim to being the oldest continuously operating bar in New York City, and the wonderful ""Friend of a Farmer"", which features ""fresh from the farm"" custom omelets and seemingly always long lines to get in to its famous weekend brunches. Seven subway lines pass through nearby Union Square station and the PATH train to New Jersey is just a few blocks away. Trader Joe's, Whole Foods, and several national clothing and electronics outlets are almost at your doorstep.",40.736453,-73.987313,https://www.zillow.com:443/homedetails/61-Irving-Pl-APT-1A-New-York-NY-10003/244767425_zpid/,1500000.00,0,1,1200,1950,10003
22,Lower East Side,"23 E 10th St, New York, NY 10003",3,3,"For sale: $5,995,000. Entertainment Lover's Dream!!

Presenting a once-in-a-lifetime opportunity to acquire the Penthouse at the legendary Albert, a former hotel and home to many famed artists, writers and musicians. The Penthouse at the Albert is a one of a kind masterpiece with panoramic views and 1800 sq feet of incomparable terraces. Perched high in the sky in the heart of Greenwich Village, this three, convertible four bedroom duplex, is impossible to replicate. The seller spent years acquiring several units to create this dream penthouse on the best block in Greenwich Village. 



An elevator leads to a landing with two entrances. To the left, you will find your exclusive, 1200 sq foot planted terrace, complete with gazebo, speaker system, outdoor shower and views for miles. Sunsets are truly extraordinary and best enjoyed with a glass of champagne! This space is remarkable and likely the most impressive terrace in Greenwich Village. It is the ultimate outdoor entertaining space. The other side of the landing leads to the main entrance of your apartment. This is the top floor of the building and boasts brilliant sunlight and views in every direction. This level consists of a large living room, dining, eat-in kitchen, guest bedroom and full bathroom with steam shower. The living room, dining room and kitchen feature floor-to-ceiling windows and direct access onto another large, decked terrace with jaw dropping 180 degree views. Downstairs you will find a gracious master suite with large closets and an over-sized en-suite bathroom complete with double sinks, soaking tub and luxurious steam shower. This level also features an additional bath, a third bedroom and an office/second living area which can easily be converted to a fourth bedroom or enjoyed as is. Further highlights of this incomparable and rare offering include an in-unit washer and dryer, central AC, speaker system and impressive storage throughout. 



The Albert is a full service, pet friendly building on a premiere, tree lined Greenwich village block. This world class location boasts some of the finest restaurants and attractions in NYC. Close proximity to several subway lines.",40.732783,-73.993564,https://www.zillow.com:443/homedetails/23-E-10th-St-New-York-NY-10003/219643618_zpid/,5995000.00,0,1,--,1923,10003
23,Lower East Side,"60 E 9th St APT 232, New York, NY 10003",1,1,"For sale: $799,000. 60 E. 9th Street Apt. 232 is a huge one bedroom in prime Greenwich Village at The Hamilton that has been renovated to be a lovely home with room to grow. Recent upgrades including a virtually new kitchen and bathroom make for a mint-condition move-in ready apartment. 60 E. 9th Street Apt. 232 features an entry and dining foyer with large walk-in closet, an open kitchen with stainless steel appliances (including dishwasher) and a gigantic living room with ample space to spread out. The king-size corner master bedroom in 60 E. 9th Street Apt. 232 has an en-suite windowed bathroom and another huge closet. The Hamilton is a full service building (24 hour doorman) ideally located in the heart of Greenwich Village on a charming, tree-lined block. 60 E. 9th Street Apt. 232 is convenient to everything - Washington Square, Union Square with its famous bi-weekly farmer's market, Whole Foods, Trader Joe's, world-class shopping and dining, and numerous subway lines. The building also boasts a common outdoor garden and bike storage. Sorry no guarantors, co-purchases or pied-a-terres. Subletting is permitted for up to three years after two years of ownership. Gifting is also permitted. No flip tax and no assessments at this time. Pets are allowed. 70% max financing.",40.73127,-73.992521,https://www.zillow.com:443/homedetails/60-E-9th-St-APT-232-New-York-NY-10003/244701069_zpid/,799000.00,0,1,800,1954,10003
24,Lower East Side,NaN,NaN,NaN,NaN,40.728004,-73.987648,https://www.zillow.com:443/homedetails/120-2nd-Ave-APT-3-A-New-York-NY-10003/72681127_zpid/,NaN,NaN,NaN,940,1920,NaN
25,Lower East Side,"137 E 15th St APT 2A, New York, NY 10003",2,2,"For sale: $1,775,000. PRICED TO SELL!
Live in this Beautiful Duplex Penthouse co-op apartment with your own enormous Roof Deck. Rarely available, this 2 bedroom/2bath pet friendly penthouse has a wood burning fireplace with custom bookshelves on both sides, exposed brick walls, high ceilings, a windowed kitchen and tons of old world charm. Enter on the first level to a large foyer which leads to a spacious, open living room with beautiful herringbone floors. A separate dining room with brick walls and three large windows that bring in lots of natural sunlight. On the second level, there are two bedrooms and two bathrooms. The oversize master bedroom has high ceilings, a full en-suite bath, great closet space, and beautiful wide plank floors. The second bedroom has brick walls, good light, and a full bath in the hall that doubles as a powder room. Washer/Dryers are allowed and there is a laundry room located in the basement as well. Entertain perfectly or sun bathe on your own enormous roof deck. This 19th century historic townhouse has a spiral staircase, multiple skylights, and is just steps away from The Village, Gramercy Park and Union Square. Just off Irving Place are some of the best restaurants, Whole Foods, Trader Joe's, etc. and major public transportation. Don't miss this unique buying opportunity!",40.734511,-73.98735,https://www.zillow.com:443/homedetails/137-E-15th-St-APT-2A-New-York-NY-10003/244705597_zpid/,1775000.00,0,1,8920,1910,10003
